"Time
[sec]"	"Drift 1st Floor
[%]"	"Drift 2nd Floor
[%]"	"Drift 3rd Floor
[%]"
0.000937500000	0.000634680653	0.005213646010	0.002691324920
0.002890625000	0.000648468388	0.002606823005	0.000000159380
0.004843750000	0.002249193878	0.002606823005	0.000000127487
0.006796875000	0.000632885959	0.002606823005	0.001345662503
0.008750000000	0.001297823653	0.003910651399	0.001345821904
0.010703125000	0.000650114939	0.002605989223	0.000000000000
0.012656250000	0.001915997571	0.000000000000	0.002691069947
0.014609375000	0.003199028163	0.001302994611	0.002691069947
0.016562500000	0.003863795714	0.005212812228	0.001345662503
0.018515625000	0.002896962041	0.002607656995	0.004036860107
0.020468750000	0.000316798388	0.001302994591	0.001345535016
0.022421875000	0.003214757347	0.001304662280	0.002691325134
0.024375000000	0.000316705612	0.001302994591	0.001345535016
0.026328125000	0.001916169592	0.001303828435	0.002691197433
0.028281250000	0.000649944245	0.003909817617	0.004036732620
0.030234375000	0.001932928980	0.001301296000	0.001345821882
0.032187500000	0.001916163531	0.003911516269	0.004037019465
0.034140625000	0.000332190408	0.002606823005	0.000000159380
0.036093750000	0.001931830061	0.000000000000	0.000000000000
0.038046875000	0.000316523286	0.003910651399	0.002691324920
0.040000000000	0.004497949184	0.001302160767	0.001345662503
0.041953125000	0.002249593469	0.001302994611	0.000000000000
0.043906250000	0.004815742449	0.001301326902	0.004036860107
0.045859375000	0.001932776816	0.001301296000	0.001345248150
0.047812500000	0.000332098816	0.000000833845	0.001345407529
0.049765625000	0.002567374082	0.001302160767	0.004036732620
0.051718750000	0.000951061735	0.002607656788	0.001345821904
0.053671875000	0.001598725449	0.001302994591	0.001345535016
0.055625000000	0.000014289446	0.002607656788	0.005382395080
0.057578125000	0.000649605082	0.003909817617	0.000000159380
0.059531250000	0.001614977184	0.002605989223	0.000000000000
0.061484375000	0.000649050347	0.001302994591	0.001345503123
0.063437500000	0.003215191633	0.002606823005	0.001345662503
0.065390625000	0.000649066143	0.002606823005	0.004036732620
0.067343750000	0.001284486531	0.002608521658	0.008073624385
0.069296875000	0.002897931020	0.001301296000	0.002691356791
0.071250000000	0.003215618980	0.006515806839	0.000000159380
0.073203125000	0.002881982449	0.001303828435	0.002690910588
0.075156250000	0.002897859592	0.005212812228	0.006727802567
0.077109375000	0.000966878429	0.003911516269	0.006728089412
0.079062500000	0.002897605918	0.002607656788	0.004036860107
0.081015625000	0.002234436327	0.002606823005	0.000000127487
0.082968750000	0.002580135306	0.002605989223	0.002691069947
0.084921875000	0.000315990633	0.002605989223	0.004036573048
0.086875000000	0.002897789184	0.003908983834	0.001345535016
0.088828125000	0.003215462857	0.001302994611	0.004036605134
0.090781250000	0.001281390490	0.001302994591	0.000000000000
0.092734375000	0.002234500000	0.000000833824	0.004036732620
0.094687500000	0.001586912449	0.001302160767	0.001345375636
0.096640625000	0.003215514898	0.001302994611	0.002691038075
0.098593750000	0.000315919939	0.001302994591	0.004036605134
0.100546880000	0.000649419082	0.002606823005	0.002691197433
0.102500000000	0.000315874673	0.003910651399	0.001345821904
0.104453130000	0.003215622857	0.001302994611	0.001345503123
0.106406250000	0.001269303469	0.001302994611	0.002691038075
0.108359380000	0.001598867510	0.002605989223	0.004036605134
0.110312500000	0.002882419184	0.001303828435	0.002691197433
0.112265630000	0.003533398163	0.001302160767	0.001345375636
0.114218750000	0.000633520776	0.002605989223	0.000000000000
0.116171880000	0.000649628143	0.001302994591	0.000000000000
0.118125000000	0.000331322041	0.000000833845	0.000000127487
0.120078130000	0.002882400816	0.001303828435	0.004036700535
0.122031250000	0.000951786612	0.000000000000	0.001345503123
0.123984380000	0.001932722776	0.000000000000	0.004036573048
0.125937500000	0.004181093673	0.002606823005	0.001345662503
0.127890630000	0.000967400694	0.000000000000	0.001345503123
0.129843750000	0.000951818082	0.001303828435	0.004036732620
0.131796880000	0.001932799408	0.000000000000	0.002691069947
0.133750000000	0.000002099334	0.001303828435	0.000000127487
0.135703130000	0.000315552388	0.002606823005	0.002691197433
0.137656250000	0.002234941837	0.003910682280	0.001345821882
